id,code,name,vigencia_inicio,vigencia_fin
sat_nomina_tipodeduccion_32,032,Ajuste en Premios por puntualidad Gravado,2017-01-06,
sat_nomina_tipodeduccion_33,033,Ajuste en Prima de Seguro de vida Exento,2017-01-06,
sat_nomina_tipodeduccion_34,034,Ajuste en Seguro de Gastos Médicos Mayores Exento,2017-01-06,
sat_nomina_tipodeduccion_35,035,Ajuste en Cuotas Sindicales Pagadas por el Patrón Exento,2017-01-06,
sat_nomina_tipodeduccion_36,036,Ajuste en Subsidios por incapacidad Exento,2017-01-06,
sat_nomina_tipodeduccion_37,037,Ajuste en Becas para trabajadores y/o hijos Exento,2017-01-06,
sat_nomina_tipodeduccion_38,038,Ajuste en Horas extra Exento,2017-01-06,
sat_nomina_tipodeduccion_39,039,Ajuste en Horas extra Gravado,2017-01-06,
sat_nomina_tipodeduccion_40,040,Ajuste en Prima dominical Exento,2017-01-06,
sat_nomina_tipodeduccion_41,041,Ajuste en Prima dominical Gravado,2017-01-06,
sat_nomina_tipodeduccion_42,042,Ajuste en Prima vacacional Exento,2017-01-06,
sat_nomina_tipodeduccion_43,043,Ajuste en Prima vacacional Gravado,2017-01-06,
sat_nomina_tipodeduccion_44,044,Ajuste en Prima por antigüedad Exento,2017-01-06,
sat_nomina_tipodeduccion_45,045,Ajuste en Prima por antigüedad Gravado,2017-01-06,
sat_nomina_tipodeduccion_46,046,Ajuste en Pagos por separación Exento,2017-01-06,
sat_nomina_tipodeduccion_47,047,Ajuste en Pagos por separación Gravado,2017-01-06,
sat_nomina_tipodeduccion_48,048,Ajuste en Seguro de retiro Exento,2017-01-06,
sat_nomina_tipodeduccion_49,049,Ajuste en Indemnizaciones Exento,2017-01-06,
sat_nomina_tipodeduccion_50,050,Ajuste en Indemnizaciones Gravado,2017-01-06,
sat_nomina_tipodeduccion_51,051,Ajuste en Reembolso por funeral Exento,2017-01-06,
sat_nomina_tipodeduccion_52,052,Ajuste en Cuotas de seguridad social pagadas por el patrón Exento,2017-01-06,
sat_nomina_tipodeduccion_53,053,Ajuste en Comisiones Gravado,2017-01-06,
sat_nomina_tipodeduccion_54,054,Ajuste en Vales de despensa Exento,2017-01-06,
sat_nomina_tipodeduccion_55,055,Ajuste en Vales de restaurante Exento,2017-01-06,
sat_nomina_tipodeduccion_56,056,Ajuste en Vales de gasolina Exento,2017-01-06,
sat_nomina_tipodeduccion_57,057,Ajuste en Vales de ropa Exento,2017-01-06,
sat_nomina_tipodeduccion_58,058,Ajuste en Ayuda para renta Exento,2017-01-06,
sat_nomina_tipodeduccion_59,059,Ajuste en Ayuda para artículos escolares Exento,2017-01-06,
sat_nomina_tipodeduccion_60,060,Ajuste en Ayuda para anteojos Exento,2017-01-06,
sat_nomina_tipodeduccion_61,061,Ajuste en Ayuda para transporte Exento,2017-01-06,
sat_nomina_tipodeduccion_62,062,Ajuste en Ayuda para gastos de funeral Exento,2017-01-06,
sat_nomina_tipodeduccion_63,063,Ajuste en Otros ingresos por salarios Exento,2017-01-06,
sat_nomina_tipodeduccion_64,064,Ajuste en Otros ingresos por salarios Gravado,2017-01-06,
sat_nomina_tipodeduccion_65,065,"Ajuste en Jubilaciones, pensiones o haberes de retiro Exento",2017-01-06,
sat_nomina_tipodeduccion_66,066,"Ajuste en Jubilaciones, pensiones o haberes de retiro Gravado",2017-01-06,
sat_nomina_tipodeduccion_67,067,Ajuste en Pagos por separación Acumulable,2017-01-06,
sat_nomina_tipodeduccion_68,068,Ajuste en Pagos por separación No acumulable,2017-01-06,
sat_nomina_tipodeduccion_69,069,"Ajuste en Jubilaciones, pensiones o haberes de retiro Acumulable",2017-01-06,
sat_nomina_tipodeduccion_70,070,"Ajuste en Jubilaciones, pensiones o haberes de retiro No acumulable",2017-01-06,
sat_nomina_tipodeduccion_71,071,Ajuste en Subsidio para el empleo (efectivamente entregado al trabajador),2017-01-06,
sat_nomina_tipodeduccion_72,072,Ajuste en Ingresos en acciones o títulos valor que representan bienes Exento,2017-01-06,
sat_nomina_tipodeduccion_73,073,Ajuste en Ingresos en acciones o títulos valor que representan bienes Gravado,2017-01-06,
sat_nomina_tipodeduccion_74,074,Ajuste en Alimentación Exento,2017-01-06,
sat_nomina_tipodeduccion_75,075,Ajuste en Alimentación Gravado,2017-01-06,
sat_nomina_tipodeduccion_76,076,Ajuste en Habitación Exento,2017-01-06,
sat_nomina_tipodeduccion_77,077,Ajuste en Habitación Gravado,2017-01-06,
sat_nomina_tipodeduccion_78,078,Ajuste en Premios por asistencia,2017-01-06,
sat_nomina_tipodeduccion_79,079,"Ajuste en Pagos distintos a los listados y que no deben considerarse como ingreso por sueldos, salarios o ingresos asimilados.",2017-01-06,
sat_nomina_tipodeduccion_80,080,Ajuste en Viáticos gravados,2017-01-06,
sat_nomina_tipodeduccion_81,081,Ajuste en Viáticos (entregados al trabajador),2017-01-06,
sat_nomina_tipodeduccion_082,082,Ajuste en Fondo de ahorro Gravado,2017-01-06,
sat_nomina_tipodeduccion_083,083,Ajuste en Caja de ahorro Gravado,2017-01-06,
sat_nomina_tipodeduccion_084,084,Ajuste en Prima de Seguro de vida Gravado,2017-01-06,
sat_nomina_tipodeduccion_085,085,Ajuste en Seguro de Gastos Médicos Mayores Gravado,2017-01-06,
sat_nomina_tipodeduccion_086,086,Ajuste en Subsidios por incapacidad Gravado,2017-01-06,
sat_nomina_tipodeduccion_087,087,Ajuste en Becas para trabajadores y/o hijos Gravado,2017-01-06,
sat_nomina_tipodeduccion_088,088,Ajuste en Seguro de retiro Gravado,2017-01-06,
sat_nomina_tipodeduccion_089,089,Ajuste en Vales de despensa Gravado,2017-01-06,
sat_nomina_tipodeduccion_090,090,Ajuste en Vales de restaurante Gravado,2017-01-06,
sat_nomina_tipodeduccion_091,091,Ajuste en Vales de gasolina Gravado,2017-01-06,
sat_nomina_tipodeduccion_092,092,Ajuste en Vales de ropa Gravado,2017-01-06,
sat_nomina_tipodeduccion_093,093,Ajuste en Ayuda para renta Gravado,2017-01-06,
sat_nomina_tipodeduccion_094,094,Ajuste en Ayuda para artículos escolares Gravado,2017-01-06,
sat_nomina_tipodeduccion_095,095,Ajuste en Ayuda para anteojos Gravado,2017-01-06,
sat_nomina_tipodeduccion_096,096,Ajuste en Ayuda para transporte Gravado,2017-01-06,
sat_nomina_tipodeduccion_097,097,Ajuste en Ayuda para gastos de funeral Gravado,2017-01-06,
sat_nomina_tipodeduccion_098,098,Ajuste a ingresos asimilados a salarios gravados,2017-01-06,
sat_nomina_tipodeduccion_099,099,Ajuste a ingresos por sueldos y salarios gravados,2017-01-06,
sat_nomina_tipodeduccion_100,100,Ajuste en Viáticos exentos,2017-01-06,
sat_nomina_tipodeduccion_101,101,ISR Retenido de ejercicio anterior,2017-12-05,
sat_nomina_tipodeduccion_102,102,"Ajuste a pagos por gratificaciones, primas, compensaciones, recompensas u otros a extrabajadores derivados de jubilación en parcialidades, gravados",2018-10-15,
sat_nomina_tipodeduccion_103,103,Ajuste a pagos que se realicen a extrabajadores que obtengan una jubilación en parcialidades derivados de la ejecución de una resolución judicial o de un laudo gravados,2018-10-15,
sat_nomina_tipodeduccion_104,104,Ajuste a pagos que se realicen a extrabajadores que obtengan una jubilación en parcialidades derivados de la ejecución de una resolución judicial o de un laudo exentos,2018-10-15,
sat_nomina_tipodeduccion_105,105,Ajuste a pagos que se realicen a extrabajadores que obtengan una jubilación en una sola exhibición derivados de la ejecución de una resolución judicial o de un laudo gravados,2018-10-15,
sat_nomina_tipodeduccion_106,106,Ajuste a pagos que se realicen a extrabajadores que obtengan una jubilación en una sola exhibición derivados de la ejecución de una resolución judicial o de un laudo exentos,2018-10-15,
sat_nomina_tipodeduccion_107,107,Ajuste al Subsidio Causado ,2020-01-01,
